ascii information for file: combined_ASCII_2idd_0397.h5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x pixel no,y pixel no, x position, y position, SRcurrent, us_ic, ds_ic, abs_ic, abs_cfg, H_dpc_cfg, V_dpc_cfg, dia1_dpc_cfg, dia2_dpc_cfg, H_dpc_norm, V_dpc_norm, phase, ELT1, ERT1, ICR1, OCR1, deadT, x_coord, y_coord, Na, Al, Si, P, S, Cl, Ar, K, Ca, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn_L, Mo_L, Se_L, Sn_L, Cd_L, Te_L, s_i, s_e, s_a, TFY, Bkgnd
0,13,0.1965,3.04445,0,80178.4,12488.3,0.155757,0,0,0,0,0,0,0,0,0.231404,0.244856,54268.7,51287.2,5.49388,196.5,3044.45,12.8804,28.2889,10.5394,18.8358,164.228,9.51761,11.148,31.2366,36.2203,3.42197,1.15872,0.271461,0.0907207,0.220206,0.108758,0.0875782,3.34269,8.62706,484.53,109.773,75.4022,144.352,239.044,858.392,5102.9,11452.4,45822.6,0
0,14,0.1965,3.0446,0,80070.8,12515.3,0.156303,0,0,0,0,0,0,0,0,0.220489,0.233163,52873.3,49999.4,5.43546,196.5,3044.6,33.8403,23.7834,9.06221,20.3856,140.96,7.50164,10.3943,33.1762,34.749,3.25742,1.07324,0.117469,0.136199,0.176318,0.0952457,0.122716,3.24425,18.1326,421.859,59.24,67.2604,148.637,236.642,992.759,5149.65,12035.5,45594.4,0
0,15,0.1965,3.04475,0,80151.5,12569.1,0.156817,0,0,0,0,0,0,0,0,0.229406,0.241806,51118.9,48497.5,5.12798,196.5,3044.75,45.4891,17.1269,7.25099,12.198,117.263,6.36246,10.1494,28.5573,36.145,3.47795,1.34756,0.128902,0.0784641,0.169294,0.0823063,0.162013,3.20098,30.4679,349.146,77.8358,71.4427,139.283,228.584,970.62,5201.3,11651.8,44718.1,0
0,16,0.1965,3.0449,0,80366.8,12649.8,0.157401,0,0,0,0,0,0,0,0,0.223218,0.235971,49955.7,47255.8,5.40451,196.5,3044.9,6.66071,21.4556,8.91846,14.5379,124.15,7.01351,9.70929,33.9101,36.2629,3.41092,0.893723,0.231212,0.174251,0.140986,0.159349,0.105673,3.74864,0,367.415,67.5056,74.4678,150.804,238.968,883.325,4291.71,10153.8,43336.5,0
0,17,0.1965,3.04505,0,80151.5,12542.2,0.156481,0,0,0,0,0,0,0,0,0.227599,0.23892,50470.3,48078.8,4.7384,196.5,3045.05,26.2001,26.8534,8.77028,12.2948,135.711,5.32398,9.88897,33.403,36.1477,4.08562,0.878873,0.113685,0.171355,0.181303,0.129048,0.11134,2.85976,17.5485,403.85,105.611,72.0099,147.804,232.392,886.197,4843.37,10809.8,43384.2,0
0,18,0.1965,3.0452,0,79963.1,12407.6,0.155167,0,0,0,0,0,0,0,0,0.220629,0.23351,55577.6,52511.7,5.51649,196.5,3045.2,20.3187,20.8253,10.5801,14.7828,142.89,7.75724,10.4017,33.4911,35.3618,3.20759,1.46644,0.10076,0.0954078,0.253639,0.152502,0.115129,3.47404,9.07277,417.02,81.1232,74.4601,148.232,231.105,1011.61,6151.34,13722.6,48099.3,0
0,19,0.1965,3.04535,0,80124.6,12219.2,0.152503,0,0,0,0,0,0,0,0,0.229752,0.242659,53566.4,50717.3,5.31884,196.5,3045.35,38.945,30.4122,14.0022,15.5838,146.057,8.87304,9.46167,34.3291,37.2297,3.59884,1.18763,0.257503,0.0783723,0.221938,0.127882,0.0956227,3.13778,26.0848,432.5,89.7054,85.6712,148.672,244.267,939.051,5025.66,11490.3,45965.7,0
0,20,0.1965,3.0455,0,80339.9,11977,0.149079,0,0,0,0,0,0,0,0,0.223712,0.237668,53877.4,50713.6,5.87214,196.5,3045.5,33.2412,32.1231,12.8581,14.5107,147.623,10.562,9.43153,38.249,36.0713,3.96768,1.19616,0.181326,0.173924,0.216496,0.121627,0.113009,3.05149,35.6231,440.184,107.194,82.1741,158.8,240.855,872.765,4564.21,10642.4,45913.7,0
0,21,0.1965,3.04565,0,80097.6,11815.5,0.147513,0,0,0,0,0,0,0,0,0.23379,0.247309,55464.4,52432.3,5.46678,196.5,3045.65,51.0471,28.9628,11.3917,16.1555,139.619,7.0725,11.3776,36.4365,42.0988,4.07839,1.20643,0.205677,0.141249,0.270127,0.161635,0.173544,3.59766,29.9167,409.028,76.4278,84.0219,172.399,279.105,816.3,4850.79,10582,48063.4,0
0,22,0.1965,3.0458,0,80151.5,11842.4,0.14775,0,0,0,0,0,0,0,0,0.223748,0.238118,58101.2,54594.8,6.03492,196.5,3045.8,66.6279,20.4867,10.9038,16.5784,136.068,7.13879,11.4467,40.682,42.5954,4.15595,1.1175,0.148683,0.160897,0.21697,0.159399,0.128358,4.7127,31.2385,393.381,95.1514,88.5616,164.93,283.484,959.467,4658.99,10808.5,50686.6,0
